"old_nc_name","new_nc_name","nc_id","Month","Avg deployment"
"CANOGA PARK NC","CANOGA PARK NC",13,2020-06-01,0
"CANOGA PARK NC","CANOGA PARK NC",13,2020-07-01,0
"CANOGA PARK NC","CANOGA PARK NC",13,2020-08-01,0
"CANOGA PARK NC","CANOGA PARK NC",13,2020-09-01,1
"CANOGA PARK NC","CANOGA PARK NC",13,2020-10-01,1
"CANOGA PARK NC","CANOGA PARK NC",13,2020-11-01,4
"CANOGA PARK NC","CANOGA PARK NC",13,2020-12-01,3
"CANOGA PARK NC","CANOGA PARK NC",13,2019-01-01,0
"CANOGA PARK NC","CANOGA PARK NC",13,2019-02-01,0
"CANOGA PARK NC","CANOGA PARK NC",13,2019-03-01,0
"CANOGA PARK NC","CANOGA PARK NC",13,2019-04-01,8
"CANOGA PARK NC","CANOGA PARK NC",13,2019-05-01,8
"CANOGA PARK NC","CANOGA PARK NC",13,2019-06-01,6
"CANOGA PARK NC","CANOGA PARK NC",13,2019-07-01,10
"CANOGA PARK NC","CANOGA PARK NC",13,2019-08-01,14
"CANOGA PARK NC","CANOGA PARK NC",13,2019-09-01,18
"CANOGA PARK NC","CANOGA PARK NC",13,2019-10-01,13
"CANOGA PARK NC","CANOGA PARK NC",13,2019-11-01,10
"CANOGA PARK NC","CANOGA PARK NC",13,2019-12-01,4
"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",110,2022-01-01,10
"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",110,2022-02-01,8
"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",110,2022-03-01,9
"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",110,2022-04-01,7
"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",110,2022-05-01,9
"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",110,2022-06-01,7
"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",110,2022-07-01,11
"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",110,2022-08-01,5
"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",110,2022-09-01,9
"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",110,2022-10-01,NA
"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",110,2022-11-01,NA
"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",110,2022-12-01,NA
"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",110,2021-01-01,1
"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",110,2021-02-01,1
"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",110,2021-03-01,3
"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",110,2021-04-01,4
"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",110,2021-05-01,4
"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",110,2021-06-01,5
"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",110,2021-07-01,8
"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",110,2021-08-01,9
"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",110,2021-09-01,10
"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",110,2021-10-01,10
"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",110,2021-11-01,13
"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",110,2021-12-01,9
"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",110,2020-01-01,6
"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",110,2020-02-01,7
"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",110,2020-03-01,7
"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",110,2020-04-01,1
"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",110,2020-05-01,1
"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",110,2020-06-01,2
"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",110,2020-07-01,4
"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",110,2020-08-01,2
"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",110,2020-09-01,4
"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",110,2020-10-01,2
"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",110,2020-11-01,1
"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",110,2020-12-01,1
"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",110,2019-01-01,0
"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",110,2019-02-01,0
"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",110,2019-03-01,1
"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",110,2019-04-01,6
"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",110,2019-05-01,6
"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",110,2019-06-01,8
"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",110,2019-07-01,16
"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",110,2019-08-01,17
"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",110,2019-09-01,15
"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",110,2019-10-01,12
"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",110,2019-11-01,11
"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",110,2019-12-01,8
"CENTRAL HOLLYWOOD NC","CENTRAL HOLLYWOOD NC",32,2022-01-01,637
"CENTRAL HOLLYWOOD NC","CENTRAL HOLLYWOOD NC",32,2022-02-01,548
"CENTRAL HOLLYWOOD NC","CENTRAL HOLLYWOOD NC",32,2022-03-01,536
"CENTRAL HOLLYWOOD NC","CENTRAL HOLLYWOOD NC",32,2022-04-01,641
"CENTRAL HOLLYWOOD NC","CENTRAL HOLLYWOOD NC",32,2022-05-01,667
"CENTRAL HOLLYWOOD NC","CENTRAL HOLLYWOOD NC",32,2022-06-01,652
"CENTRAL HOLLYWOOD NC","CENTRAL HOLLYWOOD NC",32,2022-07-01,625
"CENTRAL HOLLYWOOD NC","CENTRAL HOLLYWOOD NC",32,2022-08-01,408
"CENTRAL HOLLYWOOD NC","CENTRAL HOLLYWOOD NC",32,2022-09-01,539
"CENTRAL HOLLYWOOD NC","CENTRAL HOLLYWOOD NC",32,2022-10-01,NA
"CENTRAL HOLLYWOOD NC","CENTRAL HOLLYWOOD NC",32,2022-11-01,NA
"CENTRAL HOLLYWOOD NC","CENTRAL HOLLYWOOD NC",32,2022-12-01,NA
