"NC_ID","data_nc_name","cert_name","month_yr","avg_depl"
110,"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",2019-12-01,8
110,"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",2020-01-01,6
110,"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",2020-02-01,7
110,"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",2020-03-01,7
110,"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",2020-04-01,1
110,"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",2020-05-01,1
110,"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",2020-06-01,2
110,"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",2020-07-01,4
110,"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",2020-08-01,2
110,"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",2020-09-01,4
110,"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",2020-10-01,2
110,"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",2020-11-01,1
110,"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",2020-12-01,1
110,"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",2021-01-01,1
110,"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",2021-02-01,1
110,"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",2021-03-01,3
110,"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",2021-04-01,4
110,"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",2021-05-01,4
110,"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",2021-06-01,5
110,"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",2021-07-01,8
110,"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",2021-08-01,9
110,"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",2021-09-01,10
110,"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",2021-10-01,10
110,"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",2021-11-01,13
110,"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",2021-12-01,9
110,"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",2022-01-01,10
110,"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",2022-02-01,8
110,"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",2022-03-01,9
110,"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",2022-04-01,7
110,"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",2022-05-01,9
110,"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",2022-06-01,7
110,"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",2022-07-01,11
110,"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",2022-08-01,5
110,"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",2022-09-01,9
32,"CENTRAL HOLLYWOOD NC","CENTRAL HOLLYWOOD NC",2019-01-01,0
32,"CENTRAL HOLLYWOOD NC","CENTRAL HOLLYWOOD NC",2019-02-01,2
32,"CENTRAL HOLLYWOOD NC","CENTRAL HOLLYWOOD NC",2019-03-01,13
32,"CENTRAL HOLLYWOOD NC","CENTRAL HOLLYWOOD NC",2019-04-01,370
32,"CENTRAL HOLLYWOOD NC","CENTRAL HOLLYWOOD NC",2019-05-01,715
32,"CENTRAL HOLLYWOOD NC","CENTRAL HOLLYWOOD NC",2019-06-01,939
32,"CENTRAL HOLLYWOOD NC","CENTRAL HOLLYWOOD NC",2019-07-01,1234
32,"CENTRAL HOLLYWOOD NC","CENTRAL HOLLYWOOD NC",2019-08-01,1308
32,"CENTRAL HOLLYWOOD NC","CENTRAL HOLLYWOOD NC",2019-09-01,1064
32,"CENTRAL HOLLYWOOD NC","CENTRAL HOLLYWOOD NC",2019-10-01,739
32,"CENTRAL HOLLYWOOD NC","CENTRAL HOLLYWOOD NC",2019-11-01,677
32,"CENTRAL HOLLYWOOD NC","CENTRAL HOLLYWOOD NC",2019-12-01,623
32,"CENTRAL HOLLYWOOD NC","CENTRAL HOLLYWOOD NC",2020-01-01,603
32,"CENTRAL HOLLYWOOD NC","CENTRAL HOLLYWOOD NC",2020-02-01,695
32,"CENTRAL HOLLYWOOD NC","CENTRAL HOLLYWOOD NC",2020-03-01,450
32,"CENTRAL HOLLYWOOD NC","CENTRAL HOLLYWOOD NC",2020-04-01,89
32,"CENTRAL HOLLYWOOD NC","CENTRAL HOLLYWOOD NC",2020-05-01,187
32,"CENTRAL HOLLYWOOD NC","CENTRAL HOLLYWOOD NC",2020-06-01,332
32,"CENTRAL HOLLYWOOD NC","CENTRAL HOLLYWOOD NC",2020-07-01,636
32,"CENTRAL HOLLYWOOD NC","CENTRAL HOLLYWOOD NC",2020-08-01,692
32,"CENTRAL HOLLYWOOD NC","CENTRAL HOLLYWOOD NC",2020-09-01,776
32,"CENTRAL HOLLYWOOD NC","CENTRAL HOLLYWOOD NC",2020-10-01,751
32,"CENTRAL HOLLYWOOD NC","CENTRAL HOLLYWOOD NC",2020-11-01,607
32,"CENTRAL HOLLYWOOD NC","CENTRAL HOLLYWOOD NC",2020-12-01,564
32,"CENTRAL HOLLYWOOD NC","CENTRAL HOLLYWOOD NC",2021-01-01,456
32,"CENTRAL HOLLYWOOD NC","CENTRAL HOLLYWOOD NC",2021-02-01,593
32,"CENTRAL HOLLYWOOD NC","CENTRAL HOLLYWOOD NC",2021-03-01,652
32,"CENTRAL HOLLYWOOD NC","CENTRAL HOLLYWOOD NC",2021-04-01,761
32,"CENTRAL HOLLYWOOD NC","CENTRAL HOLLYWOOD NC",2021-05-01,815
32,"CENTRAL HOLLYWOOD NC","CENTRAL HOLLYWOOD NC",2021-06-01,871
32,"CENTRAL HOLLYWOOD NC","CENTRAL HOLLYWOOD NC",2021-07-01,798
32,"CENTRAL HOLLYWOOD NC","CENTRAL HOLLYWOOD NC",2021-08-01,853
